Address,Offset,Description,Type
4014,14,Statistical Calculated.Channel 101 Average,FloatingPoint32Bit
4016,16,Statistical Calculated.Channel 101 Standard Deviation,FloatingPoint32Bit
4018,18,Statistical Calculated.Channel 101 Max,FloatingPoint32Bit
4020,20,Statistical Calculated.Channel 101 Min,FloatingPoint32Bit
4022,22,Statistical Calculated.Channel 102 Average,FloatingPoint32Bit
4024,24,Statistical Calculated.Channel 102 Standard Deviation,FloatingPoint32Bit
4026,26,Statistical Calculated.Channel 102 Max,FloatingPoint32Bit
4028,28,Statistical Calculated.Channel 102 Min,FloatingPoint32Bit
4030,30,Statistical Calculated.Channel 103 Average,FloatingPoint32Bit
4032,32,Statistical Calculated.Channel 103 Standard Deviation,FloatingPoint32Bit
4034,34,Statistical Calculated.Channel 103 Max,FloatingPoint32Bit
4036,36,Statistical Calculated.Channel 103 Min,FloatingPoint32Bit
4038,38,Statistical Calculated.Channel 104 Average,FloatingPoint32Bit
4040,40,Statistical Calculated.Channel 104 Standard Deviation,FloatingPoint32Bit
4042,42,Statistical Calculated.Channel 104 Max,FloatingPoint32Bit
4044,44,Statistical Calculated.Channel 104 Min,FloatingPoint32Bit
4046,46,Statistical Calculated.Channel 105 Average,FloatingPoint32Bit
4048,48,Statistical Calculated.Channel 105 Standard Deviation,FloatingPoint32Bit
4050,50,Statistical Calculated.Channel 105 Max,FloatingPoint32Bit
4052,52,Statistical Calculated.Channel 105 Min,FloatingPoint32Bit
4054,54,Statistical Calculated.Channel 106 Average,FloatingPoint32Bit
4056,56,Statistical Calculated.Channel 106 Standard Deviation,FloatingPoint32Bit
4058,58,Statistical Calculated.Channel 106 Max,FloatingPoint32Bit
4060,60,Statistical Calculated.Channel 106 Min,FloatingPoint32Bit
4062,62,Statistical Calculated.Channel 107 Average,FloatingPoint32Bit
4064,64,Statistical Calculated.Channel 107 Standard Deviation,FloatingPoint32Bit
4066,66,Statistical Calculated.Channel 107 Max,FloatingPoint32Bit
4068,68,Statistical Calculated.Channel 107 Min,FloatingPoint32Bit
4070,70,Statistical Calculated.Channel 108 Average,FloatingPoint32Bit
4072,72,Statistical Calculated.Channel 108 Standard Deviation,FloatingPoint32Bit
4074,74,Statistical Calculated.Channel 108 Max,FloatingPoint32Bit
4076,76,Statistical Calculated.Channel 108 Min,FloatingPoint32Bit
4078,78,Statistical Calculated.Channel 109 Average,FloatingPoint32Bit
4080,80,Statistical Calculated.Channel 109 Standard Deviation,FloatingPoint32Bit
4082,82,Statistical Calculated.Channel 109 Max,FloatingPoint32Bit
4084,84,Statistical Calculated.Channel 109 Min,FloatingPoint32Bit
